成立年份,age,age_p1,age_p99,age_index,age_p1_index,age_p99_index
2015,3.2904024,2.971705,3.5313013,100,90.314331,107.32126
2016,2.6045489,2.2941661,2.8779182,79.155937,69.722961,87.46402
2017,2.1778505,1.9016855,2.4079697,66.187965,57.794922,73.181618
2018,1.8149611,1.64489,2.0989585,55.159245,49.99054,63.790329
2019,1.5808731,1.3792621,1.9179336,48.044979,41.917732,58.288723
2020,1.2012008,1.1301754,1.3285836,36.506199,34.347633,40.377541
